Date,meta,amzn,aapl,nflx,goog
2022-09-09,169.15,133.27,157.37,233.57,111.78
2022-09-12,168.96,136.45,163.43,236.53,111.87
2022-09-13,153.13,126.82,153.84,218.13,105.31
2022-09-14,151.47,128.55,155.31,224.12,105.87
2022-09-15,149.55,126.28,152.37,235.38,103.9
2022-09-16,146.29,123.53,150.7,240.13,103.63
2022-09-19,148.02,124.66,154.48,243.63,103.85
2022-09-20,146.09,122.19,156.9,242.85,101.83
2022-09-21,142.12,118.54,153.72,236.87,100.01
2022-09-22,142.82,117.31,152.74,237.05,100.57
2022-09-23,140.41,113.78,150.43,226.41,99.17
